"Razveze zakonskih zvez po: STATISTIČNA REGIJA, LETO , TRAJANJE ZAKONSKE"
"ZVEZE"

"Pomurska"
" ";"2003"
" ";" ";"4 leta";17
" ";" ";"5-9 let";65
" ";" ";"10-14 let";67
" ";" ";"15-19 let";61
" ";" ";"20-24 let";41
" ";" ";"25 ali več let";69
" ";"2009"
" ";" ";"do 1 leta";3
" ";" ";"1 leto";12
" ";" ";"2 leti";19
" ";" ";"3 leta";13
" ";" ";"4 leta";18
" ";" ";"5-9 let";84
" ";" ";"10-14 let";60
" ";" ";"15-19 let";67
" ";" ";"20-24 let";48
" ";" ";"25 ali več let";66
" ";"2010"
" ";" ";"do 1 leta";10
" ";" ";"1 leto";17
" ";" ";"2 leti";12
" ";" ";"3 leta";18
" ";" ";"4 leta";16
" ";" ";"5-9 let";80
" ";" ";"10-14 let";68
" ";" ";"15-19 let";54
" ";" ";"20-24 let";48
" ";" ";"25 ali več let";70
" ";"2011"
" ";" ";"do 1 leta";2
" ";" ";"1 leto";15
" ";" ";"2 leti";13
" ";" ";"3 leta";14
" ";" ";"4 leta";8
" ";" ";"5-9 let";75
" ";" ";"10-14 let";48
" ";" ";"15-19 let";49
" ";" ";"20-24 let";60
" ";" ";"25 ali več let";79
" ";"2012"
" ";" ";"do 1 leta";4
" ";" ";"1 leto";18
" ";" ";"2 leti";11
" ";" ";"3 leta";17
" ";" ";"4 leta";17
" ";" ";"5-9 let";63
" ";" ";"10-14 let";64
" ";" ";"15-19 let";54
" ";" ";"20-24 let";50
" ";" ";"25 ali več let";85
" ";"2013"
" ";" ";"do 1 leta";4
" ";" ";"1 leto";12
" ";" ";"2 leti";13
" ";" ";"3 leta";14
" ";" ";"4 leta";23
" ";" ";"5-9 let";70
" ";" ";"10-14 let";71
" ";" ";"15-19 let";47
" ";" ";"20-24 let";39
" ";" ";"25 ali več let";84
" ";"2014"
" ";" ";"do 1 leta";5
" ";" ";"1 leto";11
" ";" ";"2 leti";14
" ";" ";"3 leta";15
" ";" ";"4 leta";14
" ";" ";"5-9 let";77
" ";" ";"10-14 let";59
" ";" ";"15-19 let";47
" ";" ";"20-24 let";50
" ";" ";"25 ali več let";95
"Koroška"
" ";"2003"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";2
" ";" ";"2 leti";0
" ";" ";"3 leta";5
" ";" ";"4 leta";4
" ";" ";"5-9 let";13
" ";" ";"10-14 let";13
" ";" ";"15-19 let";15
" ";" ";"20-24 let";11
" ";" ";"25 ali več let";5
" ";"2004"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";3
" ";" ";"2 leti";5
" ";" ";"3 leta";4
" ";" ";"4 leta";5
" ";" ";"5-9 let";20
" ";" ";"10-14 let";17
" ";" ";"15-19 let";12
" ";" ";"20-24 let";15
" ";" ";"25 ali več let";10
" ";"2005"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";0
" ";" ";"2 leti";2
" ";" ";"3 leta";2
" ";" ";"4 leta";3
" ";" ";"5-9 let";14
" ";" ";"10-14 let";13
" ";" ";"15-19 let";11
" ";" ";"20-24 let";7
" ";" ";"25 ali več let";8
" ";"2006"
" ";" ";"do 1 leta";2
" ";" ";"1 leto";4
" ";" ";"2 leti";0
" ";" ";"3 leta";1
" ";" ";"4 leta";0
" ";" ";"5-9 let";17
" ";" ";"10-14 let";9
" ";" ";"15-19 let";10
" ";" ";"20-24 let";8
" ";" ";"25 ali več let";10
" ";"2007"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";1
" ";" ";"2 leti";1
" ";" ";"3 leta";1
" ";" ";"4 leta";1
" ";" ";"5-9 let";12
" ";" ";"10-14 let";16
" ";" ";"15-19 let";10
" ";" ";"20-24 let";11
" ";" ";"25 ali več let";13
" ";"2008"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";2
" ";" ";"2 leti";1
" ";" ";"3 leta";1
" ";" ";"4 leta";2
" ";" ";"5-9 let";14
" ";" ";"10-14 let";6
" ";" ";"15-19 let";14
" ";" ";"20-24 let";11
" ";" ";"25 ali več let";14
" ";"2009"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";3
" ";" ";"2 leti";3
" ";" ";"3 leta";5
" ";" ";"4 leta";1
" ";" ";"5-9 let";17
" ";" ";"10-14 let";12
" ";" ";"15-19 let";7
" ";" ";"20-24 let";7
" ";" ";"25 ali več let";8
" ";"2010"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";0
" ";" ";"2 leti";2
" ";" ";"3 leta";1
" ";" ";"4 leta";4
" ";" ";"5-9 let";13
" ";" ";"10-14 let";10
" ";" ";"15-19 let";3
" ";" ";"20-24 let";5
" ";" ";"25 ali več let";13
" ";"2011"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";1
" ";" ";"2 leti";0
" ";" ";"3 leta";3
" ";" ";"4 leta";2
" ";" ";"5-9 let";14
" ";" ";"10-14 let";8
" ";" ";"15-19 let";10
" ";" ";"20-24 let";4
" ";" ";"25 ali več let";12
" ";"2012"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";1
" ";" ";"2 leti";1
" ";" ";"3 leta";3
" ";" ";"4 leta";5
" ";" ";"5-9 let";17
" ";" ";"10-14 let";12
" ";" ";"15-19 let";10
" ";" ";"20-24 let";17
" ";" ";"25 ali več let";11
" ";"2013"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";2
" ";" ";"2 leti";1
" ";" ";"3 leta";4
" ";" ";"4 leta";4
" ";" ";"5-9 let";14
" ";" ";"10-14 let";11
" ";" ";"15-19 let";7
" ";" ";"20-24 let";10
" ";" ";"25 ali več let";19
" ";"2014"
" ";" ";"do 1 leta";3
" ";" ";"1 leto";2
" ";" ";"2 leti";1
" ";" ";"3 leta";3
" ";" ";"4 leta";5
" ";" ";"5-9 let";17
" ";" ";"10-14 let";6
" ";" ";"15-19 let";8
" ";" ";"20-24 let";5
" ";" ";"25 ali več let";14
"Savinjska"
" ";"2003"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";11
" ";" ";"2 leti";4
" ";" ";"3 leta";19
" ";" ";"4 leta";14
" ";" ";"5-9 let";53
" ";" ";"10-14 let";50
" ";" ";"15-19 let";44
" ";" ";"20-24 let";37
" ";" ";"25 ali več let";53
" ";"2004"
" ";" ";"do 1 leta";3
" ";" ";"1 leto";4
" ";" ";"2 leti";8
" ";" ";"3 leta";13
" ";" ";"4 leta";9
" ";" ";"5-9 let";64
" ";" ";"10-14 let";47
" ";" ";"15-19 let";55
" ";" ";"20-24 let";45
" ";" ";"25 ali več let";56
" ";"2005"
" ";" ";"do 1 leta";2
" ";" ";"1 leto";7
" ";" ";"2 leti";8
" ";" ";"3 leta";11
" ";" ";"4 leta";10
" ";" ";"5-9 let";58
" ";" ";"10-14 let";42
" ";" ";"15-19 let";54
" ";" ";"20-24 let";46
" ";" ";"25 ali več let";64
" ";"2006"
" ";" ";"do 1 leta";2
" ";" ";"1 leto";6
" ";" ";"2 leti";9
" ";" ";"3 leta";14
" ";" ";"4 leta";16
" ";" ";"5-9 let";51
" ";" ";"10-14 let";35
" ";" ";"15-19 let";44
" ";" ";"20-24 let";54
" ";" ";"25 ali več let";73
" ";"2007"
" ";" ";"do 1 leta";4
" ";" ";"1 leto";9
" ";" ";"2 leti";8
" ";" ";"3 leta";18
" ";" ";"4 leta";10
" ";" ";"5-9 let";54
" ";" ";"10-14 let";52
" ";" ";"15-19 let";51
" ";" ";"20-24 let";39
" ";" ";"25 ali več let";77
" ";"2008"
" ";" ";"do 1 leta";3
" ";" ";"1 leto";4
" ";" ";"2 leti";13
" ";" ";"3 leta";12
" ";" ";"4 leta";10
" ";" ";"5-9 let";52
" ";" ";"10-14 let";41
" ";" ";"15-19 let";40
" ";" ";"20-24 let";51
" ";" ";"25 ali več let";59
" ";"2009"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";11
" ";" ";"2 leti";15
" ";" ";"3 leta";8
" ";" ";"4 leta";7
" ";" ";"5-9 let";62
" ";" ";"10-14 let";45
" ";" ";"15-19 let";50
" ";" ";"20-24 let";35
" ";" ";"25 ali več let";63
" ";"2010"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";13
" ";" ";"2 leti";12
" ";" ";"3 leta";15
" ";" ";"4 leta";14
" ";" ";"5-9 let";52
" ";" ";"10-14 let";46
" ";" ";"15-19 let";47
" ";" ";"20-24 let";49
" ";" ";"25 ali več let";73
" ";"2011"
" ";" ";"do 1 leta";4
" ";" ";"1 leto";5
" ";" ";"2 leti";5
" ";" ";"3 leta";12
" ";" ";"4 leta";11
" ";" ";"5-9 let";53
" ";" ";"10-14 let";36
" ";" ";"15-19 let";41
" ";" ";"20-24 let";30
" ";" ";"25 ali več let";55
